A1	A2	A3	A4	A5
1	98.3866358063704	98.8788901925984	98.8714734795084	96.7423341693031	99.3586877106325
2	98.3193498239015	100.788609381144	100.437735095287	100.940704299726	103.941870053316
3	100.01541426499	98.810556980562	97.5985303100071	98.817094585985	99.6239529195964
4	98.5855287214651	101.511662260143	98.2339407210788	99.4256832857941	101.777342785245
5	100.313235231793	97.2304140235653	99.8159365724835	101.141874852104	96.3890251391607
6	98.0933006192765	99.6821003654918	98.4406359369397	100.589810865573	100.583904797439
7	98.8118223522951	97.5633081688739	101.144923240114	97.8936910439282	98.7079493845218
8	99.0556464391412	99.9829930117055	97.6542119760781	101.701956090555	100.054248095058
9	100.293745367269	99.7339306484492	98.726171786726	102.054151233291	100.397147868262
10	99.9002478936198	100.346534630846	101.245467574234	97.8324578556566	104.745929867348
11	101.224139127886	99.5660842063398	101.262795058588	97.702800922164	101.462617205117
12	103.594239348576	96.9282566800201	94.9106909739511	99.2972114019994	100.939957852226
13	100.929394103965	96.4673579886141	101.948450756156	100.702565017538	98.7407919219932
14	98.6228459203209	97.9839481101227	101.271231723609	96.2220448112601	99.9009090617635
15	99.3402521902142	101.892974924808	99.296496793612	99.4616529091193	99.4002033570923
16	98.6055862445698	102.885238112514	103.090937036671	95.7681640583841	100.194794481602
17	101.551356945344	101.3013509261	100.64773350128	101.751008169785	105.563680900258
18	97.1400338505575	96.0151319879762	102.401546278067	102.672335288123	97.0670054440888
19	98.6268645100048	98.9189415441757	101.574639079891	97.5233497536152	97.9014451869212
20	98.8307217797108	99.7931140242165	101.86585588643	98.7855725190389	98.2840953745357
